dealtime,id,politicstime,state,title
等待处理：25天1小时31分,246761,2020-05-17 17:16:16,待处理,增加返校高峰公交发车班次
等待处理：25天1小时31分,246762,2020-05-17 16:53:49,待处理,咨询人民医院口腔科收费标准
等待处理：25天1小时31分,246755,2020-05-17 16:39:05,待处理,南城区西平地区绿色路晚上汽车乱停路边现象严重
等待处理：25天1小时31分,246756,2020-05-17 16:33:15,待处理,东城东泰花园西门入口防止路边乱停车的问题
等待处理：25天1小时31分,246757,2020-05-17 16:19:41,待处理,新城路与迎宾路交接路口，很多插队车，能不能监管？
等待处理：25天1小时31分,246758,2020-05-17 16:05:00,待处理,南城宏伟一路和宏伟二路十字路红绿灯长期坏了没有维修
等待处理：25天1小时31分,246752,2020-05-17 15:35:32,待处理,工业噪音
等待处理：25天1小时31分,246748,2020-05-17 15:16:00,待处理,松山湖的房价要一直炒下去吗？
等待处理：25天1小时31分,246749,2020-05-17 15:13:07,待处理,清溪镇私家车乱停乱放
等待处理：25天1小时31分,246750,2020-05-17 14:59:02,待处理,违建严重
等待处理：25天1小时31分,246751,2020-05-17 14:47:00,待处理,集群注册了一个公司，处处碰壁
等待处理：25天1小时31分,246754,2020-05-17 14:32:12,待处理,石排碧桂园映月台隐瞒售房面积，其指定运通房地产按揭服务公司滞留客户契税金一年半
等待处理：25天1小时31分,246736,2020-05-17 14:01:11,待处理,民办学校变相性强制学生购买图书
等待处理：25天1小时31分,246738,2020-05-17 13:46:17,待处理,关于黄金花园三期小学学位区域分配诉求
等待处理：25天1小时31分,246741,2020-05-17 12:59:20,待处理,虎门镇永康街内巷全是车，挡住路口消防通道
等待处理：25天1小时56分,246742,2020-05-17 12:57:50,待处理,虎门外语学校校车问题
等待处理：25天1小时56分,246746,2020-05-17 12:06:37,待处理,前单位不肯开具工作证明
等待处理：25天1小时56分,246747,2020-05-17 12:03:41,待处理,关于东莞应届大中专毕业生企业就业补贴咨询
等待处理：25天1小时56分,246735,2020-05-17 11:53:40,待处理,虎门外语学校校车收费问题
等待处理：25天1小时56分,246732,2020-05-17 11:25:16,待处理,房住不炒，能否让涨上天的松山湖房价降降温！
等待处理：25天1小时56分,246733,2020-05-17 11:02:52,待处理,车管所办事效率
等待处理：25天1小时56分,246734,2020-05-17 10:45:14,待处理,停车乱象横生
等待处理：25天1小时56分,246729,2020-05-17 10:33:49,待处理,东莞银行换系统压缩员工自由时间
等待处理：25天1小时56分,246730,2020-05-17 10:32:21,待处理,强烈要求高埗村跟进实施停车封闭式收费管理制度
等待处理：25天1小时56分,246723,2020-05-17 10:16:39,待处理,村民空调外机噪音太大，严重影响周边领居正
等待处理：25天1小时56分,246725,2020-05-17 09:47:49,待处理,犀牛陂村，松木山村为什么不给居民停电通知
等待处理：25天1小时56分,246727,2020-05-17 09:24:30,待处理,远新路汽车乱停乱放
等待处理：25天1小时56分,246728,2020-05-17 09:18:58,待处理,桥头玖峰79栋2单元电梯故障
等待处理：25天1小时56分,246722,2020-05-17 09:13:40,待处理,道滘丽水佳园物乱收费通知
等待处理：25天1小时56分,246721,2020-05-17 09:08:32,待处理,婚检具体事项
等待处理：25天1小时56分,246720,2020-05-17 09:06:01,待处理,377公车没有以往准时在某个时间段到达站点&希望早晚高峰增加377班次
等待处理：25天1小时56分,246719,2020-05-17 08:57:34,待处理,道滘万科丽水佳园物业强行收业主停车费
等待处理：25天1小时56分,246718,2020-05-17 08:53:13,待处理,九层多的违规建筑投诉没门
等待处理：25天1小时56分,246717,2020-05-17 08:24:12,待处理,国家森林公园内私自填湖大量违建
等待处理：25天1小时56分,246716,2020-05-17 07:44:26,待处理,疫情未过，物业又来添乱，严重影响居民生活谁来管？
等待处理：25天1小时56分,246715,2020-05-17 07:25:27,待处理,对前期物业服务合同的投诉严重不满意，继续投诉（这份为准））
等待处理：25天1小时56分,246712,2020-05-17 00:49:02,待处理,常平黄泥塘工业路车辆乱停车
等待处理：25天1小时56分,246711,2020-05-17 00:32:22,待处理,坝头第三停车场闸口，每天半夜车多鸣笛，严重扰民！！请政府部门处理！！
等待处理：25天1小时56分,246710,2020-05-16 23:55:55,待处理,东莞六中饭堂不负责 学生吃了拉肚子 多次反应无果
等待处理：25天1小时56分,246709,2020-05-16 23:55:36,待处理,居民楼开铝合金加工厂，扰民！！！
等待处理：25天1小时56分,246703,2020-05-16 23:29:08,待处理,公共场所没有配带口罩
等待处理：25天1小时56分,246702,2020-05-16 23:27:12,待处理,东田山畔华庭3，5栋污水处理24小时施工
等待处理：25天1小时56分,246695,2020-05-16 23:03:21,待处理,请彻查东莞市松山湖慈美人医疗美容门诊部有限公司乱收费及不开发票问题
等待处理：25天1小时56分,246699,2020-05-16 22:44:47,待处理,请愿书
等待处理：25天1小时56分,246697,2020-05-16 22:44:16,待处理,儿童接种疫苗问题
dealtime,id,politicstime,state,title
等待处理：27天1小时55分,246900,2020-05-18 17:22:01,待处理,乱摆乱卖，影响交通
等待处理：27天1小时55分,246902,2020-05-18 17:19:31,待处理,清溪镇 肯德基旁 富业路口的摆摊
等待处理：27天1小时55分,246899,2020-05-18 17:11:40,待处理,道路施工通行不便
等待回复：27天20小时0分,246897,2020-05-18 17:03:27,已受理,投诉寮步翠珑湾小区置荟星城物业不作为
等待处理：27天1小时55分,246898,2020-05-18 16:58:00,待处理,关于私立幼儿园退费问题
等待处理：27天1小时55分,246896,2020-05-18 16:54:47,待处理,积分入学
等待处理：27天1小时55分,246891,2020-05-18 16:41:59,待处理,万江街道没有按东教基函〔2020〕2号，落实好就近原则，制定招生方案。
等待处理：27天1小时55分,246892,2020-05-18 16:37:21,待处理,微信平台反映违建占路面问题一直没有得到解决
等待处理：27天1小时55分,246881,2020-05-18 16:31:41,待处理,同胞姐弟不同校，接送极麻烦！
等待处理：27天1小时55分,246880,2020-05-18 16:31:25,待处理,投诉人民医院停车收费不合理
等待处理：27天1小时55分,246882,2020-05-18 16:30:35,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待处理：27天1小时55分,246876,2020-05-18 16:28:35,待处理,质疑东坑碧桂园物业在业主签名方面作假
等待处理：27天1小时55分,246872,2020-05-18 16:24:20,待处理,金田花园小区停车位未经业主确认私自乱涨价。涨到450/月
等待处理：27天1小时55分,246870,2020-05-18 16:22:50,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待回复：27天18小时57分,246869,2020-05-18 16:19:35,已受理,常平都市华府开发商拒绝按合同退换房款
等待处理：27天1小时54分,246871,2020-05-18 16:18:32,待处理,痛心!愤怒!广东海格怡创科技有限公司如此对待曾奋战在抗疫通信战线的员工!!
等待处理：27天1小时54分,246873,2020-05-18 16:09:49,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待回复：27天19小时3分,246875,2020-05-18 15:59:59,已受理,东莞公交车路线和公交站点更改频繁，坐公交车的我不知所措
等待回复：27天18小时29分,246877,2020-05-18 15:59:45,已受理,樟深路樟洋路段占领国道修理车辆
等待处理：27天1小时54分,246879,2020-05-18 15:51:50,待处理,如何转学到虎门镇梅沙小学
等待处理：27天1小时54分,246878,2020-05-18 15:51:50,待处理,立新派出所职业素质有问题
等待处理：27天1小时54分,246883,2020-05-18 15:47:40,待处理,艮六美养生美容院噪音扰民，多次投诉无果
等待处理：27天1小时54分,246884,2020-05-18 15:38:25,待处理,一样地方统一违建处理！
等待处理：27天1小时54分,246885,2020-05-18 15:37:34,待处理,东坑镇长安塘东安路辅道摆摊没人管
等待处理：27天1小时54分,246887,2020-05-18 15:32:04,待处理,东莞机动车过户迁出提档
等待处理：27天1小时54分,246888,2020-05-18 15:14:48,待处理,地铁8号线是否能新增中堂站
等待处理：27天1小时54分,246889,2020-05-18 15:13:18,待处理,幼儿园
等待处理：27天1小时54分,246894,2020-05-18 14:46:47,待处理,办理车辆解除抵押一定要第三方公司才能办理吗？
等待处理：27天1小时54分,246895,2020-05-18 14:45:45,待处理,开发商不给办房产证
等待回复：27天16小时55分,246859,2020-05-18 14:29:27,已受理,猖狂的管理处，业主的三年租金哪里去了？
等待处理：27天1小时56分,246863,2020-05-18 14:05:46,待处理,请不要敷衍对待涉及人民群众生命财产安全的投诉
等待处理：27天1小时56分,246864,2020-05-18 14:01:40,待处理,请问富盈WO城对面的这两块地块是什么用地？有什么规划吗？谢谢!
等待回复：27天18小时11分,246865,2020-05-18 13:48:09,已受理,学校饭堂“最低消费”问题
等待回复：27天17小时55分,246867,2020-05-18 13:13:06,已受理,关于东莞市第六高级中学饭堂建设有严重失误的问题。
等待处理：27天1小时56分,246858,2020-05-18 13:02:58,待处理,堑头主干道乱停乱放问题越来越严重
等待处理：27天1小时56分,246857,2020-05-18 12:58:32,待处理,办房产证历经三年遥遥无期，耽误孩子上学
等待回复：27天17小时41分,246856,2020-05-18 12:58:26,已受理,广东海格怡创科技有限公司变相克扣工资
等待处理：27天1小时56分,246855,2020-05-18 12:57:30,待处理,松湖豪庭小区自来水收费标准没有明确的说法
等待处理：27天1小时56分,246854,2020-05-18 12:49:19,待处理,关于东莞邮储银行出抵押注销材料时间
等待处理：27天1小时56分,246853,2020-05-18 12:36:18,待处理,关于东莞市莞城区步步高高富楼排污下水道被破坏导致臭味熏天影响小区正常生活的投诉
等待回复：27天17小时46分,246852,2020-05-18 12:30:33,已受理,三个年级挤一个只能塞一个年级的饭堂！
等待回复：27天16小时10分,246851,2020-05-18 12:28:49,已受理,车牌进展
等待回复：27天17小时39分,246850,2020-05-18 12:25:58,已受理,学籍档案归属
等待回复：27天17小时3分,246848,2020-05-18 12:08:59,已受理,虎门北栅小学2020年有积分入学学位吗？
等待处理：27天1小时56分,246846,2020-05-18 12:03:51,待处理,大王洲桥随便改造加石墩
dealtime,id,politicstime,state,title
等待处理：27天0小时41分,246900,2020-05-18 17:22:01,待处理,乱摆乱卖，影响交通
等待处理：27天0小时41分,246902,2020-05-18 17:19:31,待处理,清溪镇 肯德基旁 富业路口的摆摊
等待处理：27天0小时41分,246899,2020-05-18 17:11:40,待处理,道路施工通行不便
等待回复：27天18小时47分,246897,2020-05-18 17:03:27,已受理,投诉寮步翠珑湾小区置荟星城物业不作为
等待处理：27天0小时41分,246898,2020-05-18 16:58:00,待处理,关于私立幼儿园退费问题
等待处理：27天0小时41分,246896,2020-05-18 16:54:47,待处理,积分入学
等待处理：27天0小时41分,246891,2020-05-18 16:41:59,待处理,万江街道没有按东教基函〔2020〕2号，落实好就近原则，制定招生方案。
等待处理：27天0小时41分,246892,2020-05-18 16:37:21,待处理,微信平台反映违建占路面问题一直没有得到解决
等待处理：27天0小时41分,246881,2020-05-18 16:31:41,待处理,同胞姐弟不同校，接送极麻烦！
等待处理：27天0小时41分,246880,2020-05-18 16:31:25,待处理,投诉人民医院停车收费不合理
等待处理：27天0小时41分,246882,2020-05-18 16:30:35,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待处理：27天0小时41分,246876,2020-05-18 16:28:35,待处理,质疑东坑碧桂园物业在业主签名方面作假
等待处理：27天0小时41分,246872,2020-05-18 16:24:20,待处理,金田花园小区停车位未经业主确认私自乱涨价。涨到450/月
等待处理：27天0小时41分,246870,2020-05-18 16:22:50,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待回复：27天17小时44分,246869,2020-05-18 16:19:35,已受理,常平都市华府开发商拒绝按合同退换房款
等待处理：27天0小时41分,246871,2020-05-18 16:18:32,待处理,痛心!愤怒!广东海格怡创科技有限公司如此对待曾奋战在抗疫通信战线的员工!!
等待处理：27天0小时41分,246873,2020-05-18 16:09:49,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待回复：27天17小时50分,246875,2020-05-18 15:59:59,已受理,东莞公交车路线和公交站点更改频繁，坐公交车的我不知所措
等待回复：27天17小时16分,246877,2020-05-18 15:59:45,已受理,樟深路樟洋路段占领国道修理车辆
等待处理：27天0小时41分,246879,2020-05-18 15:51:50,待处理,如何转学到虎门镇梅沙小学
等待处理：27天0小时41分,246878,2020-05-18 15:51:50,待处理,立新派出所职业素质有问题
等待处理：27天0小时41分,246883,2020-05-18 15:47:40,待处理,艮六美养生美容院噪音扰民，多次投诉无果
等待处理：27天0小时41分,246884,2020-05-18 15:38:25,待处理,一样地方统一违建处理！
等待处理：27天0小时41分,246885,2020-05-18 15:37:34,待处理,东坑镇长安塘东安路辅道摆摊没人管
等待处理：27天0小时41分,246887,2020-05-18 15:32:04,待处理,东莞机动车过户迁出提档
等待处理：27天0小时41分,246888,2020-05-18 15:14:48,待处理,地铁8号线是否能新增中堂站
等待处理：27天0小时41分,246889,2020-05-18 15:13:18,待处理,幼儿园
等待处理：27天0小时41分,246894,2020-05-18 14:46:47,待处理,办理车辆解除抵押一定要第三方公司才能办理吗？
等待处理：27天0小时41分,246895,2020-05-18 14:45:45,待处理,开发商不给办房产证
等待回复：27天15小时42分,246859,2020-05-18 14:29:27,已受理,猖狂的管理处，业主的三年租金哪里去了？
等待处理：27天0小时41分,246863,2020-05-18 14:05:46,待处理,请不要敷衍对待涉及人民群众生命财产安全的投诉
等待处理：27天0小时41分,246864,2020-05-18 14:01:40,待处理,请问富盈WO城对面的这两块地块是什么用地？有什么规划吗？谢谢!
等待回复：27天16小时57分,246865,2020-05-18 13:48:09,已受理,学校饭堂“最低消费”问题
等待回复：27天16小时41分,246867,2020-05-18 13:13:06,已受理,关于东莞市第六高级中学饭堂建设有严重失误的问题。
等待处理：27天0小时41分,246858,2020-05-18 13:02:58,待处理,堑头主干道乱停乱放问题越来越严重
等待处理：27天0小时41分,246857,2020-05-18 12:58:32,待处理,办房产证历经三年遥遥无期，耽误孩子上学
等待回复：27天16小时27分,246856,2020-05-18 12:58:26,已受理,广东海格怡创科技有限公司变相克扣工资
等待处理：27天0小时41分,246855,2020-05-18 12:57:30,待处理,松湖豪庭小区自来水收费标准没有明确的说法
等待处理：27天0小时41分,246854,2020-05-18 12:49:19,待处理,关于东莞邮储银行出抵押注销材料时间
等待处理：27天0小时41分,246853,2020-05-18 12:36:18,待处理,关于东莞市莞城区步步高高富楼排污下水道被破坏导致臭味熏天影响小区正常生活的投诉
等待回复：27天16小时31分,246852,2020-05-18 12:30:33,已受理,三个年级挤一个只能塞一个年级的饭堂！
等待回复：27天14小时55分,246851,2020-05-18 12:28:49,已受理,车牌进展
等待回复：27天16小时25分,246850,2020-05-18 12:25:58,已受理,学籍档案归属
等待回复：27天15小时49分,246848,2020-05-18 12:08:59,已受理,虎门北栅小学2020年有积分入学学位吗？
等待处理：27天0小时41分,246846,2020-05-18 12:03:51,待处理,大王洲桥随便改造加石墩
dealtime,id,politicstime,state,title
等待处理：27天0小时41分,246871,2020-05-18 16:18:32,待处理,痛心!愤怒!广东海格怡创科技有限公司如此对待曾奋战在抗疫通信战线的员工!!
等待处理：27天0小时41分,246873,2020-05-18 16:09:49,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待回复：27天17小时50分,246875,2020-05-18 15:59:59,已受理,东莞公交车路线和公交站点更改频繁，坐公交车的我不知所措
等待回复：27天17小时16分,246877,2020-05-18 15:59:45,已受理,樟深路樟洋路段占领国道修理车辆
等待处理：27天0小时41分,246879,2020-05-18 15:51:50,待处理,如何转学到虎门镇梅沙小学
等待处理：27天0小时41分,246878,2020-05-18 15:51:50,待处理,立新派出所职业素质有问题
等待处理：27天0小时41分,246883,2020-05-18 15:47:40,待处理,艮六美养生美容院噪音扰民，多次投诉无果
等待处理：27天0小时41分,246884,2020-05-18 15:38:25,待处理,一样地方统一违建处理！
等待处理：27天0小时41分,246885,2020-05-18 15:37:34,待处理,东坑镇长安塘东安路辅道摆摊没人管
等待处理：27天0小时41分,246887,2020-05-18 15:32:04,待处理,东莞机动车过户迁出提档
等待处理：27天0小时41分,246888,2020-05-18 15:14:48,待处理,地铁8号线是否能新增中堂站
等待处理：27天0小时41分,246889,2020-05-18 15:13:18,待处理,幼儿园
等待处理：27天0小时41分,246894,2020-05-18 14:46:47,待处理,办理车辆解除抵押一定要第三方公司才能办理吗？
等待处理：27天0小时41分,246895,2020-05-18 14:45:45,待处理,开发商不给办房产证
等待回复：27天15小时42分,246859,2020-05-18 14:29:27,已受理,猖狂的管理处，业主的三年租金哪里去了？
等待处理：27天0小时41分,246871,2020-05-18 16:18:32,待处理,痛心!愤怒!广东海格怡创科技有限公司如此对待曾奋战在抗疫通信战线的员工!!
等待处理：27天0小时41分,246873,2020-05-18 16:09:49,待处理,关于盛世凯旋住宅小区（名门世家）小学学位区域分配诉求
等待回复：27天17小时50分,246875,2020-05-18 15:59:59,已受理,东莞公交车路线和公交站点更改频繁，坐公交车的我不知所措
等待回复：27天17小时16分,246877,2020-05-18 15:59:45,已受理,樟深路樟洋路段占领国道修理车辆
等待处理：27天0小时41分,246879,2020-05-18 15:51:50,待处理,如何转学到虎门镇梅沙小学
等待处理：27天0小时41分,246878,2020-05-18 15:51:50,待处理,立新派出所职业素质有问题
等待处理：27天0小时41分,246883,2020-05-18 15:47:40,待处理,艮六美养生美容院噪音扰民，多次投诉无果
等待处理：27天0小时41分,246884,2020-05-18 15:38:25,待处理,一样地方统一违建处理！
等待处理：27天0小时41分,246885,2020-05-18 15:37:34,待处理,东坑镇长安塘东安路辅道摆摊没人管
等待处理：27天0小时41分,246887,2020-05-18 15:32:04,待处理,东莞机动车过户迁出提档
等待处理：27天0小时41分,246888,2020-05-18 15:14:48,待处理,地铁8号线是否能新增中堂站
等待处理：27天0小时41分,246889,2020-05-18 15:13:18,待处理,幼儿园
等待处理：27天0小时41分,246894,2020-05-18 14:46:47,待处理,办理车辆解除抵押一定要第三方公司才能办理吗？
等待处理：27天0小时41分,246895,2020-05-18 14:45:45,待处理,开发商不给办房产证
等待回复：27天15小时42分,246859,2020-05-18 14:29:27,已受理,猖狂的管理处，业主的三年租金哪里去了？
等待处理：27天0小时40分,246863,2020-05-18 14:05:46,待处理,请不要敷衍对待涉及人民群众生命财产安全的投诉
等待处理：27天0小时40分,246864,2020-05-18 14:01:40,待处理,请问富盈WO城对面的这两块地块是什么用地？有什么规划吗？谢谢!
等待回复：27天16小时55分,246865,2020-05-18 13:48:09,已受理,学校饭堂“最低消费”问题
